root_cause_id,scenario_id,answer,fault_type_cn,root_cause_description,suggested_action,mean_rsrp,mean_sinr,mean_throughput_mbps,mean_rb_num,mean_gps_speed_kmh
RC_ID_KYV7TLA3TL,ID_KYV7TLA3TL,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-87.889,22.399,634.862,198.663,18.2
RC_ID_KUQ56NHKRC,ID_KUQ56NHKRC,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-84.764,10.193,788.018,168.414,17.9
RC_ID_2KSUJ32FOL,ID_2KSUJ32FOL,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-86.477,12.978,590.856,196.647,19.4
RC_ID_EAD732W3XX,ID_EAD732W3XX,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-79.698,13.366,776.623,209.474,16
RC_ID_HKXOGZ7785,ID_HKXOGZ7785,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-80.345,22.522,1080.766,211.004,34.4
RC_ID_FOFNOQ7YTE,ID_FOFNOQ7YTE,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,-84.96,0.419,746.006,207.131,14
RC_ID_0BX5DYZD39,ID_0BX5DYZD39,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-82.81,6.978,737.717,210.537,18.5
RC_ID_C7RM8J7UGT,ID_C7RM8J7UGT,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-84.784,18.006,939.314,211.216,34.1
RC_ID_1LU1GQKRM6,ID_1LU1GQKRM6,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-82.871,12.325,655.173,197.706,25.9
RC_ID_R1C9OFX6LP,ID_R1C9OFX6LP,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-87.753,20.266,734.174,208.922,38.4
RC_ID_UJCCC7ZXWL,ID_UJCCC7ZXWL,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-81.04,8.307,670.061,209.511,19.1
RC_ID_QU7GKMVBF5,ID_QU7GKMVBF5,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-87.302,24.238,652.083,204.633,19.7
RC_ID_NEU20PLXQK,ID_NEU20PLXQK,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-82.369,3.773,595.43,201.165,22.2
RC_ID_4NPSIR5L53,ID_4NPSIR5L53,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-77.544,3.404,635.219,192.578,18.8
RC_ID_1WVH8KPA4T,ID_1WVH8KPA4T,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-85.972,15.074,930.5,210.639,19.4
RC_ID_BWVRXVQE9Q,ID_BWVRXVQE9Q,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-85.076,24.087,640.596,197.24,16.2
RC_ID_0YPJON1GHW,ID_0YPJON1GHW,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-81.896,5.776,641.042,202.379,35.1
RC_ID_4MCV3S8MLN,ID_4MCV3S8MLN,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-84.96,0.419,746.006,207.131,30
RC_ID_GSDA622T4C,ID_GSDA622T4C,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-83.902,18.669,791.192,205.77,20.9
RC_ID_LSCO1MRIBD,ID_LSCO1MRIBD,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-87.018,20.55,562.341,199.74,33.8
RC_ID_X3QD1XNWP5,ID_X3QD1XNWP5,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-86.939,20.147,630.381,206.685,23.6
RC_ID_EFLNDZMQJR,ID_EFLNDZMQJR,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-77.452,20.731,888.929,210.606,30.5
RC_ID_OGRFKUPW5Q,ID_OGRFKUPW5Q,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-82.137,15.141,946.087,203.585,33.8
RC_ID_QYF2KWKMS1,ID_QYF2KWKMS1,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-81.894,11.194,622.405,210.84,22.7
RC_ID_QYZPVN14N6,ID_QYZPVN14N6,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-81.656,3.766,732.565,201.838,23.1
RC_ID_F4GWV685E7,ID_F4GWV685E7,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,-87.467,15.545,922.385,207.194,20.2
RC_ID_S5XH2N7HHU,ID_S5XH2N7HHU,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-87.15,8.435,801.304,208.407,21.6
RC_ID_VJNZBBWW6L,ID_VJNZBBWW6L,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-86.547,24.024,887.997,210.469,14.8
RC_ID_ERYI944XVK,ID_ERYI944XVK,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-86.086,21.876,726.899,193.751,18.5
RC_ID_O33P1CNAGW,ID_O33P1CNAGW,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-89.569,20.49,586.152,206.223,15.3
RC_ID_8F5APW38G5,ID_8F5APW38G5,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-81.668,12.806,1040.123,208.432,36.4
RC_ID_MEW6189J1B,ID_MEW6189J1B,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-76.305,15.716,948.51,204.202,16.6
RC_ID_38AT499617,ID_38AT499617,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-83.014,17.466,1000.05,211.184,17.2
RC_ID_TBVYNNOWBH,ID_TBVYNNOWBH,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-83.902,18.669,791.192,205.77,20.9
RC_ID_1EB0DGFP07,ID_1EB0DGFP07,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-82.252,14.702,824.852,209.022,19.7
RC_ID_QJMFRH0157,ID_QJMFRH0157,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-83.964,7.561,648.033,201.69,18.4
RC_ID_FCHHTWBXW4,ID_FCHHTWBXW4,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-82.683,5.486,827.049,206.955,25.1
RC_ID_MDU5TNIU9G,ID_MDU5TNIU9G,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-82.578,10.668,670.887,206.536,21.6
RC_ID_O51NFCIH9G,ID_O51NFCIH9G,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,-85.471,4.856,706.371,209.881,21.4
RC_ID_Q9RFM0OUQ8,ID_Q9RFM0OUQ8,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,-79.555,10.163,852.033,207.533,19.9
RC_ID_C97E7TZDX3,ID_C97E7TZDX3,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-86.156,18.896,624.175,205.699,18.6
RC_ID_R9RDU5P8UO,ID_R9RDU5P8UO,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-81.983,21.996,715.245,201.67,25
RC_ID_TH9HRUXGTP,ID_TH9HRUXGTP,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-82.455,7.245,625.553,193.219,37.2
RC_ID_2M9MQZF3S8,ID_2M9MQZF3S8,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-86.318,21.079,583.29,163.0895,16.8
RC_ID_G7BYL7V20J,ID_G7BYL7V20J,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-81.623,12.084,711.52,187.554,16.9
RC_ID_NTFSOIOEOG,ID_NTFSOIOEOG,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-80.714,9.854,633.787,163.1845,21.6
RC_ID_CBH917UZP2,ID_CBH917UZP2,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-76.93,2.42,654.077,203.041,25.4
RC_ID_5GUVM4YEWZ,ID_5GUVM4YEWZ,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-86.496,19.066,976.464,208.737,15.6
RC_ID_844T2PSXTK,ID_844T2PSXTK,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-85.383,13.015,843.923,209.476,23.1
RC_ID_342CVK5J6Z,ID_342CVK5J6Z,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-73.134,11.721,1059.551,209.389,20.7
RC_ID_I851CU985B,ID_I851CU985B,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-85.858,17.125,677.899,196.54,17.1
RC_ID_05YSXSLU2Q,ID_05YSXSLU2Q,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-88.712,5.66,610.332,207.011,16.9
RC_ID_JT0SG47X0A,ID_JT0SG47X0A,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-83.533,17.023,1043.214,210.058,18.7
RC_ID_I8NU7NS04A,ID_I8NU7NS04A,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-81.623,12.084,671.52,187.554,32.9
RC_ID_MAHNTU9MKC,ID_MAHNTU9MKC,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-84.33,3.026,536.477,206.408,23.4
RC_ID_Z0UH9479AB,ID_Z0UH9479AB,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-86.547,24.024,887.997,210.469,30.8
RC_ID_YJT3TZHN4Q,ID_YJT3TZHN4Q,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-83.107,11.405,852.806,208.129,22.2
RC_ID_ZZMOO06PHG,ID_ZZMOO06PHG,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-79.315,9.431,527.424,161.7065,15.7
RC_ID_L7441JV5F3,ID_L7441JV5F3,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-85.671,14.049,609.589,201.5,21.3
RC_ID_40LK1INKRI,ID_40LK1INKRI,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-87.114,15.285,819.266,211.053,20.3
RC_ID_X8Y2E1PZA4,ID_X8Y2E1PZA4,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-86.868,27.317,765.626,168.6335,25.7
RC_ID_BYHBV61AFG,ID_BYHBV61AFG,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-80.869,8.051,941.371,204.071,21.3
RC_ID_AM0EUMQBC3,ID_AM0EUMQBC3,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-85.384,10.13,836.558,204.144,24
RC_ID_FY51KPFY9N,ID_FY51KPFY9N,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-80.329,15.28,567.624,207.773,37.4
RC_ID_5GEMKEGKNX,ID_5GEMKEGKNX,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-87.737,1.741,730.911,207.137,26.3
RC_ID_UC4GARG8G5,ID_UC4GARG8G5,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-88.529,26.518,934.381,210.77,17.6
RC_ID_A24LGY5Y0E,ID_A24LGY5Y0E,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-84.074,5.471,663.758,203.457,21.9
RC_ID_VT67F721DQ,ID_VT67F721DQ,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-88.071,10.182,687.066,207.417,39.1
RC_ID_IEPBTPUJ9C,ID_IEPBTPUJ9C,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-87.753,20.266,734.174,208.922,22.4
RC_ID_GPC7YS3JG8,ID_GPC7YS3JG8,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-87.114,15.285,819.266,168.824,20.3
RC_ID_9B20TXNIDK,ID_9B20TXNIDK,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,-73.564,23.042,1157.858,210.818,15.8
RC_ID_O894D7M0VU,ID_O894D7M0VU,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-82.81,6.978,737.717,210.537,34.5
RC_ID_37BB87PFZX,ID_37BB87PFZX,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-84.074,5.471,663.758,203.457,37.9
RC_ID_IEX6OQA1L4,ID_IEX6OQA1L4,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-86.477,12.978,550.856,196.647,19.4
RC_ID_F9R1A6KS3O,ID_F9R1A6KS3O,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-84.242,17.615,983.36,205.525,17.9
RC_ID_PVMLBTN01X,ID_PVMLBTN01X,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-82.708,9.801,961.856,209.372,30.5
RC_ID_IRMB06E0A6,ID_IRMB06E0A6,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-83.588,18.514,1079.8,209.145,24.4
RC_ID_GNWSJY4XMI,ID_GNWSJY4XMI,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-80.329,15.28,567.624,207.773,21.4
RC_ID_51G99BK65O,ID_51G99BK65O,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-89.41,10.052,828.333,202.017,18.8
RC_ID_S2N80V8XI0,ID_S2N80V8XI0,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-79.315,9.431,567.424,201.188,15.7
RC_ID_R4WW3V49IY,ID_R4WW3V49IY,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-79.182,2.04,733.844,201.88,23.2
RC_ID_GJ3OMWW342,ID_GJ3OMWW342,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-83.512,19.648,1051.553,210.16,22.1
RC_ID_3ZA4RLAFIO,ID_3ZA4RLAFIO,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-82.426,7.714,548.458,198.056,22.7
RC_ID_R9DMT4E7GE,ID_R9DMT4E7GE,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-85.972,21.353,635.785,205.182,17.5
RC_ID_NF31COPFP1,ID_NF31COPFP1,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-83.774,24.352,640.861,204.426,21.3
RC_ID_XIKZ5U7CKR,ID_XIKZ5U7CKR,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-85.923,22.619,607.395,152.824,22.4
RC_ID_8Q9OYR1PNA,ID_8Q9OYR1PNA,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-82.46,9.148,641.175,206.565,23.7
RC_ID_GHHHZAWEGJ,ID_GHHHZAWEGJ,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-82.106,2.243,602.226,163.304,16.9
RC_ID_PEA6C517F2,ID_PEA6C517F2,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-86.29,13.218,614.54,206.033,24.7
RC_ID_4U624WL6M5,ID_4U624WL6M5,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-80.751,12.26,855.971,206.711,12
RC_ID_CVLZWRZYV7,ID_CVLZWRZYV7,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-83.032,10.864,652.082,202.823,41
RC_ID_8C1K5159OG,ID_8C1K5159OG,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-80.85,7.725,737.785,206.763,13.5
RC_ID_J0MKXQ0ZOY,ID_J0MKXQ0ZOY,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,-82.683,5.486,787.049,206.955,25.1
RC_ID_G6RDCAKROH,ID_G6RDCAKROH,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-80.499,21.093,728.698,207.166,22.8
RC_ID_W7P65NZNKD,ID_W7P65NZNKD,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-85.889,22.399,634.862,198.663,18.2
RC_ID_BROGQGYVGL,ID_BROGQGYVGL,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-77.643,6.139,635.694,203.189,32.1
RC_ID_XRLJ4IRRSJ,ID_XRLJ4IRRSJ,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-85.709,8.858,854.012,208.726,15.4
RC_ID_UFMZGX0B4D,ID_UFMZGX0B4D,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-79.555,10.163,852.033,166.3075,19.9
RC_ID_E9OFM0LSP4,ID_E9OFM0LSP4,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-81.577,7.517,716.078,200.076,35.9
RC_ID_5IFSYPZ9D3,ID_5IFSYPZ9D3,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-86.124,22.484,733.184,199.456,19.2
RC_ID_VIYAKJCG7V,ID_VIYAKJCG7V,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-85.995,2.69,676.732,204.593,25
RC_ID_7NG3DPS8LD,ID_7NG3DPS8LD,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-85.541,21.489,1014.869,211.188,17.7
RC_ID_KSUAC7SPBL,ID_KSUAC7SPBL,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-85.944,6.208,610.361,159.5655,22.8
RC_ID_XLWBDBVIVE,ID_XLWBDBVIVE,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,-84.907,6.638,739.23,207.689,22.9
RC_ID_37IYCR134J,ID_37IYCR134J,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,-83.79,13.218,654.54,206.033,24.7
RC_ID_ONB2LQXN7U,ID_ONB2LQXN7U,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-82.252,14.702,824.852,167.5525,19.7
RC_ID_QGORUQ197I,ID_QGORUQ197I,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-83.751,2.275,975.621,163.968,17.8
RC_ID_X5OZ2XKSO0,ID_X5OZ2XKSO0,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-83.072,13.307,778.024,203.175,33.5
RC_ID_90DGZ1RABD,ID_90DGZ1RABD,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-79.125,8.149,673.646,153.684,18.8
RC_ID_49USFHNSRS,ID_49USFHNSRS,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-87.835,8.159,602.102,207.152,16.5
RC_ID_G3RN6AD40U,ID_G3RN6AD40U,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,-84.459,20.207,740.667,202.918,17.5
RC_ID_JG7FD9KQ9B,ID_JG7FD9KQ9B,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-83.904,19.519,846.38,208.767,37
RC_ID_E2BI635E1C,ID_E2BI635E1C,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-83.428,15.386,767.26,210.024,19.4
RC_ID_3HG3RXD0SO,ID_3HG3RXD0SO,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-83.471,10.513,652.939,195.005,32.8
RC_ID_BQJFG1OMUA,ID_BQJFG1OMUA,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-78.926,7.714,548.458,198.056,22.7
RC_ID_KPGX4QZY6R,ID_KPGX4QZY6R,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,-81.402,7.764,690.079,200.266,17.5
RC_ID_0EPGGIH97I,ID_0EPGGIH97I,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-79.556,6.048,628.547,165.0235,19.4
RC_ID_J70FCDBTJD,ID_J70FCDBTJD,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-85.897,15.118,718.718,210.43,19.5
RC_ID_5ADGA9BVW9,ID_5ADGA9BVW9,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-83.939,20.429,755.729,204.22,33.8
RC_ID_WX1919XMZE,ID_WX1919XMZE,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,-85.483,22.556,583.062,194.466,35.7
